id,title,first_artist,all_artists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,release_date,popularity
5L2ZjCkliMWp0sHDhEksye,Lagu Cinta,Isyana Sarasvati,"['Isyana Sarasvati', 'Afgan', 'Rendy Pandugo']",0.36,0.22,3,-12.222,0,0.0347,0.953,0.00155,0.0895,0.313,153.757,259440,4,2019-05-10,55
3FcCAFQj4bLpfxo8gj1kk9,Adu Rayu,Yovie Widianto,"['Yovie Widianto', 'Tulus', 'Glenn Fredly']",0.558,0.374,5,-12.425,1,0.0471,0.598,0.0,0.108,0.217,99.953,207700,4,2019-02-22,68
504Xxh028W54LAyIMoOmfc,Echo,Isyana Sarasvati,['Isyana Sarasvati'],0.769,0.722,0,-5.773,1,0.0283,0.125,0.00053,0.15,0.825,103.996,207120,4,2017-09-01,28
79esEXlqqmq0GPz0xQSZTV,Lost In Japan,Shawn Mendes,['Shawn Mendes'],0.713,0.738,10,-6.784,1,0.374,0.255,0.0,0.106,0.425,105.027,201200,4,2018-05-25,75
6LsAAHotRLMOHfCsSfYCsz,If I Can't Have You,Shawn Mendes,['Shawn Mendes'],0.692,0.809,2,-4.198,1,0.0602,0.524,0.0,0.147,0.864,123.911,190800,4,2019-05-03,80
2wRtHWkpJ3jGMsjtqYb6RC,Feel So Right,Isyana Sarasvati,"['Isyana Sarasvati', 'Afgan', 'Rendy Pandugo']",0.702,0.706,9,-5.947,0,0.0359,0.176,0.0,0.247,0.644,108.954,232865,4,2019-02-22,39
6OojqUzWlDeG0YOWbVgzAp,Seribu Bulan Sejuta Malam,Kahitna,['Kahitna'],0.273,0.271,11,-13.065,1,0.0307,0.436,0.000154,0.29,0.208,70.173,233520,4,2019-03-15,36
0V6VWNDMVc3gczw4PstM1a,Hatiku Indonesia,Yovie Widianto,"['Yovie Widianto', 'Andien', 'Hivi!']",0.296,0.301,8,-8.248,1,0.0306,0.519,1.41e-06,0.179,0.182,126.797,213843,4,2019-04-05,24
2zgiM0lbf4KpBPriKPqEMg,Bicara (feat. Monita Tahalea),TheOvertunes,"['TheOvertunes', 'Monita Tahalea']",0.574,0.37,5,-9.487,1,0.027,0.557,2.23e-05,0.0806,0.372,76.863,236395,4,2018-08-31,57
4cNN6wJ563ohBHEuYM1x8M,Tunggu Apa Lagi,Lalahuta,['Lalahuta'],0.415,0.675,7,-4.787,1,0.0556,0.599,0.0,0.204,0.7,80.894,207864,4,2018-04-18,56
4MZMDRXgQO0gTaBp0hHKTl,Pemuda,Hivi!,['Hivi!'],0.577,0.547,9,-7.059,1,0.0299,0.376,0.000299,0.29,0.241,91.936,249511,4,2019-05-03,24
1vT1rKlEzvT9r0uYwAuwC8,Manusia Kuat,Tulus,['Tulus'],0.61,0.495,0,-7.252,1,0.0285,0.232,0.0,0.32,0.612,111.955,184600,4,2016-08-03,58
47hM29gWsKfIv0piBMVG1R,"A Whole New World - From ""Aladdin""",gamaliél,"['gamaliél', 'Isyana Sarasvati']",0.412,0.357,9,-7.409,0,0.0318,0.73,0.0,0.106,0.273,120.256,159677,4,2019-05-17,48
67L0rPX2z7n44XBYStoHDg,Tak Ingin Pisah Lagi,Marion Jola,"['Marion Jola', 'Rizky Febian']",0.656,0.445,9,-5.062,0,0.0268,0.517,0.0,0.142,0.342,95.039,265519,4,2019-05-17,57
